[VIBEPKT_CMD_OPENDEVICE]                    "12000002000130"
[VIBEPKT_CMD_SETDEVICEPROPERTY]             "1000000000000003"
[VIBEPKT_CMD_PLAYMAGSWEEPEFFECT]            "1C0000000330F4"
[VIBEPKT_CMD_CLOSEDEVICE]                   "130000"
[VIBEPKT_CMD_DEVICE_COUNT]                  "150000"

[VIBEPKT_CMD_GETDEVICEPROPERTY_INTEGER]     "11000001000000010401000000"
[VIBEPKT_CMD_GETDEVICEPROPERTY_STRING]      "1100000000000003205354554253545542535455425354554253545542535455425354554253545542"
[VIBEPKT_CMD_GETDEVICEPROPERTY_BOOL]        "11000002000000020101"

[VIBEPKT_CMD_GETDEVICESTATE]                "0D000010000000"

[VIBEPKT_CMD_GETDEVICECAPABILITIES_INTEGER] "09000001000000010401000000"
[VIBEPKT_CMD_GETDEVICECAPABILITIES_STRING]  "0900000A000000030453545542"

[VIBEPKT_CMD_PLAYPERIODICEFFECT]            "1D0000000230D0"
[VIBEPKT_CMD_PLAYIVTEFFECT_INCLUDEIVTDATA]  "04000010000000"
[VIBEPKT_CMD_PLAYIVTEFFECT_NOIVTDATA]	    "05000010000000"

[VIBEPKT_CMD_STOPEFFECT]                    "070000"
[VIBEPKT_CMD_STOPALLEFFECTS]                "080000"

[VIBEPKT_CMD_PLAYSTREAMINGSAMPLE]           "160000"
[VIBEPKT_CMD_CREATESTREAMINGEFFECT]         "17000010000000"  
[VIBEPKT_CMD_DESTROYSTREAMINGEFFECT]        "180000"
[VIBEPKT_CMD_MODIFYPLAYINGMAGSWEEPEFFECT]   "1E0000"
[VIBEPKT_CMD_MODIFYPLAYINGPERIODICEFFECT]   "1F0000"
[VIBEPKT_CMD_PAUSEPLAYINGEFFECT]            "190000"
[VIBEPKT_CMD_RESUMEPAUSEDEFFECT]            "1A0000"

[VIBEPKT_CMD_GETEFFECTSTATE_NOTPLAYING]     "1B000000"
[VIBEPKT_CMD_GETEFFECTSTATE_PLAYING]        "1B000001"
[VIBEPKT_CMD_GETEFFECTSTATE_PAUSED]         "1B000002"
[VIBEPKT_CMD_SETKERNELPARAMETER]            "0E00001001"
[VIBEPKT_CMD_GETKERNELPARAMETER]            "0F00001001BB1C"

[VIBEPKT_CMD_STATUSCASESUCCESS]             "05000010000000"
[VIBEPKT_CMD_STATUSCASEALREADYINIT]         "0500FF10000000"
[VIBEPKT_CMD_STATUSCASENOTINIT]             "0500FE10000000"
[VIBEPKT_CMD_STATUSCASEINVALIDARG]          "0500FD10000000"
[VIBEPKT_CMD_STATUSCASEFAIL]                "0500FC10000000"
[VIBEPKT_CMD_STATUSCASEINCOMPEFFTYPE]       "0500FB10000000"
[VIBEPKT_CMD_STATUSCASEINCOMPCAPATYPE]      "0500FA10000000"
[VIBEPKT_CMD_STATUSCASEINCOMPPROPTYPE]      "0500F910000000"
[VIBEPKT_CMD_STATUSCASEDEVNEEDSLICENSE]     "0500F810000000"
[VIBEPKT_CMD_STATUSCASENOTENOUGHMEM]        "0500F710000000"
[VIBEPKT_CMD_STATUSCASESRVNOTRUNNING]       "0500F610000000"
[VIBEPKT_CMD_STATUSCASEERRINSUFFPRIORITY]   "0500F510000000"
[VIBEPKT_CMD_STATUSCASESRVBUSY]             "0500F410000000"
[VIBEPKT_CMD_STATUSCASEWRNNOTPLAYING]       "05000110000000"
[VIBEPKT_CMD_STATUSCASEWRNINSUFFPRIORITY]   "05000210000000"

[VIBEPKT_CMD_SETLICENSE]                    "1000000000000003"
